"","X","grp.recording","female.id","great.call","recording","Delta.Time..s..1","BW.90...Hz..1","Freq.5...Hz..1","Freq.95...Hz..1","Delta.Time..s..2","BW.90...Hz..2","Freq.5...Hz..2","Freq.95...Hz..2","Delta.Time..s..3","BW.90...Hz..3","Freq.5...Hz..3","Freq.95...Hz..3","Delta.Time..s..4","BW.90...Hz..4","Freq.5...Hz..4","Freq.95...Hz..4","Delta.Time..s..5","BW.90...Hz..5","Freq.5...Hz..5","Freq.95...Hz..5","Delta.Time..s..6","BW.90...Hz..6","Freq.5...Hz..6","Freq.95...Hz..6","duty.cycle","note.dur.comb","rest.dur.comb","num.notes","intro.dur","trill.dur"
"388",27817,"SAFL_05_037","SAFL_05","SAFL_05_037.19",19,0.865,129.2,624.5,753.7,0.9,150.7,602.9,753.7,0.691,258.4,602.9,861.3,0.551,301.5,602.9,904.4,0.418,366.1,624.5,990.5,0.357,366.1,646,1012.1,0.763004313625983,3.007,3.941,89,10.466,5.735
"389",27906,"SAFL_05_037","SAFL_05","SAFL_05_037.20",20,0.819,172.3,624.5,796.7,0.964,193.8,602.9,796.7,0.784,236.9,602.9,839.8,0.627,193.8,624.5,818.3,0.511,258.4,624.5,882.9,0.389,323,624.5,947.5,0.781502324443357,3.194,4.087,88,9.447,6.67
"390",27991,"SAFL_05_037","SAFL_05","SAFL_05_037.21",21,0.853,107.7,624.5,732.1,0.987,150.7,602.9,753.7,0.836,150.7,602.9,753.7,0.58,150.7,624.5,775.2,0.424,172.3,624.5,796.7,0.342,193.8,646,839.8,0.785524728588661,3.256,4.145,89,10.584,5.921
"391",28080,"SAFL_05_037","SAFL_05","SAFL_05_037.22",22,0.998,129.2,602.9,732.1,0.929,150.7,602.9,753.7,0.76,172.3,602.9,775.2,0.557,193.8,602.9,796.7,0.453,279.9,624.5,904.4,0.325,344.5,624.5,969,0.791412539643816,3.244,4.099,86,9.653,6.304
"392",28166,"SAFL_05_037","SAFL_05","SAFL_05_037.23",23,0.737,129.2,624.5,753.7,1.084,172.3,602.9,775.2,0.731,172.3,624.5,796.7,0.557,193.8,624.5,818.3,0.435,258.4,624.5,882.9,0.401,323,646,969,0.752238083716429,3.109,4.133,91,10.577,6.339
"393",28257,"SAFL_05_037","SAFL_05","SAFL_05_037.24",24,0.801,150.7,624.5,775.2,1.004,129.2,602.9,732.1,0.819,172.3,602.9,775.2,0.621,172.3,602.9,775.2,0.534,236.9,624.5,861.3,0.342,279.9,624.5,904.4,0.773171312842507,3.245,4.197,85,9.722,6.438
"394",28342,"SAFL_05_037","SAFL_05","SAFL_05_037.25",25,0.923,193.8,624.5,818.3,0.929,215.3,624.5,839.8,0.708,236.9,624.5,861.3,0.575,236.9,624.5,861.3,0.441,236.9,646,882.9,0.342,258.4,646,904.4,0.780433159073936,3.135,4.017,82,9.167,6.124
"395",28424,"SAFL_06_024","SAFL_06","SAFL_06_024.01",1,0.866,150.7,581.4,732.1,0.784,129.2,602.9,732.1,0.714,150.7,602.9,753.7,0.691,150.7,602.9,753.7,0.551,215.3,602.9,818.3,0.511,430.7,602.9,1033.6,0.812068048910154,3.055,3.762,99,11.975,9.921
"396",28520,"SAFL_06_024","SAFL_06","SAFL_06_024.02",2,0.668,150.7,581.4,732.1,0.778,150.7,581.4,732.1,0.627,150.7,602.9,753.7,0.61,129.2,602.9,732.1,0.551,150.7,602.9,753.7,0.441,150.7,602.9,753.7,0.768988248781886,2.683,3.489,84,9.355,9.967
"397",28604,"SAFL_06_024","SAFL_06","SAFL_06_024.03",3,0.621,129.2,581.4,710.6,0.731,150.7,581.4,732.1,0.656,129.2,602.9,732.1,0.551,129.2,602.9,732.1,0.435,172.3,602.9,775.2,0.435,150.7,602.9,753.7,0.76002376002376,2.559,3.367,92,12.589,7.97
